Teste individual Vehicle_det.onnx
Class       Images  Instances      Box(P          R      mAP50  mAP50-95):
all         1800       1800       0.99      0.993      0.994      0.934
car         1800       1440       0.99      0.987      0.994      0.958
motorcycle  1800        360       0.99          1      0.995      0.911

Teste individual LP_det.onnx
Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
all       1800       1800      0.975      0.964      0.993        0.8

Teste individual LP_det_pvd.onnx
Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
all       1800       1800      0.987      0.979      0.994      0.921

Teste individual char_det.onnx
Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
all       1800      12600      0.785      0.753      0.825      0.559
0       1800        810       0.87      0.921      0.914      0.638
1       1800        780      0.867      0.821      0.882      0.458
2       1800        390      0.868          1      0.995      0.632
3       1800        540      0.963      0.987      0.994       0.71
4       1800        750      0.995      0.997      0.994      0.702
5       1800        630      0.894      0.986      0.978      0.614
6       1800        810      0.943      0.996      0.984      0.715
7       1800        600      0.674      0.963      0.941      0.596
8       1800        990      0.868      0.968      0.966      0.662
9       1800       1020      0.985      0.889      0.984      0.662
A       1800       1530      0.906      0.999      0.988      0.691
B       1800        390      0.875       0.91      0.937      0.652
C       1800        150      0.634      0.798      0.793      0.564
D       1800         60      0.535      0.833      0.869      0.597
E       1800        120          1      0.602      0.895      0.677
F       1800         30      0.832      0.658       0.65     0.0885
G       1800        120      0.631      0.555       0.61      0.398
H       1800         90      0.754      0.333      0.638      0.467
I       1800        150      0.363      0.793      0.635      0.353
J       1800        120      0.455      0.403      0.441      0.276
K       1800        120      0.612      0.383       0.45      0.354
L       1800        150      0.707      0.709      0.775      0.561
M       1800        210      0.446       0.69      0.649      0.482
N       1800         30          0          0       0.18      0.123
P       1800        270      0.927      0.993      0.992      0.733
Q       1800         90      0.916      0.333      0.467      0.363
R       1800        120      0.726      0.775      0.847      0.598
S       1800        240      0.981      0.632      0.912      0.546
T       1800         90      0.949      0.208      0.842       0.67
U       1800        120      0.944      0.982      0.993      0.726
V       1800        150      0.635      0.993      0.875      0.589
W       1800        300      0.974      0.249      0.831       0.58
X       1800        120      0.932          1      0.995      0.629
Y       1800        270      0.825          1      0.994      0.759
Z       1800        240      0.996      0.994      0.995      0.706

Teste individual char_seg.onnx
Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
all       1800      12600      0.995      0.994      0.994      0.706

---------------------------------------------------------------------------
TESTE 1
Vehicle Detection NMS_IOU = 0.45 CONFIDENCE = 0.25
class   Qobj    TP      FN      FP      prec    recall
car     1440    1371    60      27      0.9807  0.9581
mot      360     332    28      0       1.0     0.9222
all     1800    1703    88      27      0.9844  0.9509

License Plate Detection NMS_IOU = 0.45 CONFIDENCE = 0.001
class   Qobj    TP      FN      FP      prec    recall
LP      1800    1654    128     28      0.9834  0.9282
all     1800    1654    128     28      0.9834  0.9282

Char Segmentation NMS_IOU = 0.45 CONFIDENCE = 0.001:
class   Qobj    TP      FN      FP      prec    recall
0       690     623     66      26      0.9599  0.9042
1       780     666     109     31      0.9555  0.8594
2       390     367     23      7       0.9813  0.941
3       540     529     10      10      0.9814  0.9814
4       750     685     60      39      0.9461  0.9195
5       630     616     14      9       0.9856  0.9778
6       810     677     131     8       0.9883  0.8379
7       600     555     45      18      0.9686  0.925
8       990     909     64      18      0.9806  0.9342
9       1020    947     68      12      0.9875  0.933
A       1530    1351    173     36      0.974   0.8865
B       390     356     29      14      0.9622  0.9247
C       150     149     1       1       0.9933  0.9933
D       60      60      0       0       1.0     1.0
E       120     112     8       0       1.0     0.9333
F       30      30      0       0       1.0     1.0
G       120     119     1       4       0.9675  0.9917
H       90      90      0       1       0.989   1.0
I       150     141     9       12      0.9216  0.94
J       120     95      25      0       1.0     0.7917
K       120     80      40      11      0.8791  0.6667
L       150     147     3       4       0.9735  0.98
M       210     151     58      12      0.9264  0.7225
N       30      30      0       0       1.0     1.0
P       270     229     41      16      0.9347  0.8481
Q       90      87      3       2       0.9775  0.9667
R       120     119     1       7       0.9444  0.9917
S       240     235     5       5       0.9792  0.9792
T       90      89      1       3       0.9674  0.9889
U       120     113     7       2       0.9826  0.9417
V       150     117     33      2       0.9832  0.78
W       300     287     13      1       0.9965  0.9567
X       120     104     16      0       1.0     0.8667
Y       270     227     38      19      0.9228  0.8566
Z       240     230     10      21      0.9163  0.9583
O       120     87      32      5       0.9457  0.7311
all     12600   11409   1137    356     0.9697  0.9094

Char Recognition
class   Qobj    TP      FN      FP      prec    recall
0       690     559     131     91      0.86    0.8101
1       780     650     130     27      0.9601  0.8333
2       390     360     30      78      0.8219  0.9231
3       540     518     22      19      0.9646  0.9593
4       750     684     66      37      0.9487  0.912
5       630     609     21      19      0.9697  0.9667
6       810     612     198     27      0.9577  0.7556
7       600     493     107     157     0.7585  0.8217
8       990     832     158     40      0.9541  0.8404
9       1020    858     162     69      0.9256  0.8412
A       1530    1353    177     160     0.8942  0.8843
B       390     361     29      101     0.7814  0.9256
C       150     83      67      66      0.557   0.5533
D       60      54      6       7       0.8852  0.9
E       120     66      54      4       0.9429  0.55
F       30      27      3       28      0.4909  0.9
G       120     54      66      41      0.5684  0.45
H       90      53      37      2       0.9636  0.5889
I       150     138     12      37      0.7886  0.92
J       120     52      68      25      0.6753  0.4333
K       120     28      92      38      0.4242  0.2333
L       150     126     24      42      0.75    0.84
M       210     98      112     169     0.367   0.4667
N       30      0       30      20      0.0     0.0
P       270     229     41      69      0.7685  0.8481
Q       90      46      44      22      0.6765  0.5111
R       120     47      73      54      0.4653  0.3917
S       240     200     40      34      0.8547  0.8333
T       90      37      53      3       0.925   0.4111
U       120     113     7       5       0.9576  0.9417
V       150     114     36      68      0.6264  0.76
W       300     26      274     5       0.8387  0.08667
X       120     85      35      9       0.9043  0.7083
Y       270     225     45      18      0.9259  0.8333
Z       240     203     37      75      0.7302  0.8458
O       120     63      57      43      0.5943  0.525
all     12600   10056   2544    1709    0.8547  0.7981

Placas Totalmente reconhecidas: 0.4033333333333333, 0.71888888
==============================================================
TESTE 2
License Plate Detection NMS_IOU = 0.45 CONFIDENCE = 0.25
class   Qobj    TP      FN      FP      prec    recall
LP      1800    1693    102     12      0.993   0.9432
all     1800    1693    102     12      0.993   0.9432

Char Segmentation NMS_IOU = 0.45 CONFIDENCE = 0.001
class   Qobj    TP      FN      FP      prec    recall
0       690     612     78      50      0.9245  0.887
1       780     711     68      42      0.9442  0.9127
2       390     381     9       6       0.9845  0.9769
3       540     519     15      9       0.983   0.9719
4       750     718     28      14      0.9809  0.9625
5       630     617     13      3       0.9952  0.9794
6       810     769     38      6       0.9923  0.9529
7       600     536     64      28      0.9504  0.8933
8       990     902     86      7       0.9923  0.913
9       1020    927     92      3       0.9968  0.9097
A       1530    1400    126     30      0.979   0.9174
B       390     378     11      11      0.9717  0.9717
C       150     149     1       5       0.9675  0.9933
D       60      60      0       0       1.0     1.0
E       120     110     8       3       0.9735  0.9322
F       30      30      0       12      0.7143  1.0
G       120     119     1       3       0.9754  0.9917
H       90      85      5       0       1.0     0.9444
I       150     148     2       9       0.9427  0.9867
J       120     91      29      1       0.9891  0.7583
K       120     87      33      11      0.8878  0.725
L       150     147     3       2       0.9866  0.98
M       210     148     62      15      0.908   0.7048
N       30      30      0       0       1.0     1.0
P       270     246     24      2       0.9919  0.9111
Q       90      74      16      2       0.9737  0.8222
R       120     113     7       1       0.9912  0.9417
S       240     219     21      0       1.0     0.9125
T       90      89      1       4       0.957   0.9889
U       120     118     2       2       0.9833  0.9833
V       150     147     3       1       0.9932  0.98
W       300     254     43      3       0.9883  0.8552
X       120     104     16      0       1.0     0.8667
Y       270     248     21      30      0.8921  0.9219
Z       240     212     28      24      0.8983  0.8833
O       120     91      29      7       0.9286  0.7583
all     12600   11589   983     346     0.971   0.9218

Char Recognition
class   Qobj    TP      FN      FP      prec    recall
0       690     551     139     139     0.7986  0.7986
1       780     692     88      41      0.9441  0.8872
2       390     347     43      76      0.8203  0.8897
3       540     514     26      15      0.9716  0.9519
4       750     694     56      13      0.9816  0.9253
5       630     613     17      8       0.9871  0.973
6       810     686     124     20      0.9717  0.8469
7       600     465     135     160     0.744   0.775
8       990     809     181     50      0.9418  0.8172
9       1020    841     179     49      0.9449  0.8245
A       1530    1401    129     162     0.8964  0.9157
B       390     378     12      100     0.7908  0.9692
C       150     91      59      64      0.5871  0.6067
D       60      56      4       6       0.9032  0.9333
E       120     63      57      7       0.9     0.525
F       30      28      2       45      0.3836  0.9333
G       120     56      64      34      0.6222  0.4667
H       90      43      47      0       1.0     0.4778
I       150     147     3       42      0.7778  0.98
J       120     50      70      21      0.7042  0.4167
K       120     35      85      56      0.3846  0.2917
L       150     128     22      40      0.7619  0.8533
M       210     92      118     152     0.377   0.4381
N       30      0       30      9       0.0     0.0
P       270     246     24      31      0.8881  0.9111
Q       90      40      50      35      0.5333  0.4444
R       120     58      62      68      0.4603  0.4833
S       240     183     57      35      0.8394  0.7625
T       90      37      53      4       0.9024  0.4111
U       120     112     8       4       0.9655  0.9333
V       150     120     30      59      0.6704  0.8
W       300     31      269     0       1.0     0.1033
